Customer_ID,Order_ID,Order_Date,Region,Customer_Segment,Quantity,Price_per_Unit,Revenue,COGS,Marketing_Cost,Profit
CUST-8270,ORD-0,2022-12-31,Europe,High Value,3,188.0,563.99,343.72,25.93,194.35
CUST-1860,ORD-1,2023-07-31,Asia,Low Value,1,321.25,321.25,198.6,71.74,50.9
CUST-6390,ORD-2,2022-11-22,North America,Low Value,5,265.61,1328.04,840.1,52.7,435.25
CUST-6191,ORD-3,2023-08-04,Asia,Mid Value,5,251.37,1256.84,570.74,19.58,666.52
CUST-6734,ORD-4,2023-09-25,Europe,Mid Value,3,323.54,970.62,675.25,63.99,231.37
CUST-7265,ORD-5,2023-09-13,North America,Mid Value,5,168.96,844.81,510.67,73.53,260.62
CUST-1466,ORD-6,2022-09-04,Asia,Low Value,3,327.5,982.5,534.86,47.78,399.86
CUST-5426,ORD-7,2023-03-10,Europe,Mid Value,4,342.97,1371.89,813.07,62.03,496.8
CUST-6578,ORD-8,2022-04-03,Europe,Mid Value,4,421.33,1685.34,833.58,64.61,787.15
CUST-9322,ORD-9,2022-09-25,Europe,Mid Value,1,370.63,370.63,189.7,64.06,116.88
CUST-2685,ORD-10,2023-09-07,Africa,Low Value,2,173.49,346.98,163.58,39.08,144.32
CUST-1769,ORD-11,2023-09-16,Africa,Low Value,2,236.38,472.77,316.66,60.5,95.61
CUST-7949,ORD-12,2022-11-17,North America,Mid Value,5,77.78,388.91,199.47,46.14,143.3
CUST-3433,ORD-13,2022-03-03,North America,Mid Value,2,143.5,287.0,182.23,36.1,68.68
CUST-6311,ORD-14,2022-10-27,North America,Low Value,4,270.05,1080.21,560.14,17.44,502.63
CUST-6051,ORD-15,2023-02-07,Africa,Low Value,1,68.37,68.37,33.26,73.18,-38.07
CUST-7420,ORD-16,2023-10-10,North America,Mid Value,4,293.89,1175.56,560.78,36.12,578.66
CUST-2184,ORD-17,2023-07-21,Europe,Mid Value,3,207.33,622.0,413.67,22.97,185.37
CUST-5555,ORD-18,2023-09-12,Europe,Mid Value,5,36.69,183.44,88.04,23.17,72.23
CUST-4385,ORD-19,2022-10-30,North America,Low Value,5,228.53,1142.67,539.1,23.16,580.42
CUST-7396,ORD-20,2022-09-10,North America,Mid Value,2,154.95,309.89,140.18,5.19,164.53
CUST-9666,ORD-21,2023-04-23,Africa,Low Value,3,52.15,156.45,84.73,37.87,33.85
CUST-3558,ORD-22,2023-01-04,Europe,High Value,2,160.82,321.64,220.54,71.8,29.3
CUST-8849,ORD-23,2023-11-10,Asia,Mid Value,2,161.17,322.33,218.27,6.89,97.17
